EV Charger Registration Code,operator,No. of Charging Outlets,evCpId,plugType,chargingSpeed,PostalCode,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,longitude,latitude
R118646E,SHELL SINGAPORE PTE. LTD.,1,R118646E-001,Type 2,22,49318,16,COLLYER QUAY,COLLYER QUAY CENTRE,B3,32,Yes,103.8525029,1.2842425
R118647K,SHELL SINGAPORE PTE. LTD.,1,R118647K-001,Type 2,22,49318,16,COLLYER QUAY,COLLYER QUAY CENTRE,B3,33,Yes,103.8525029,1.2842425
R118648B,SHELL SINGAPORE PTE. LTD.,1,R118648B-001,Type 2,22,49318,16,COLLYER QUAY,COLLYER QUAY CENTRE,B3,34,Yes,103.8525029,1.2842425
R119076C,IWOW TECHNOLOGY LIMITED,1,R119076C-001,Type 2,22,408830,81,UBI AVENUE 4,UB. ONE,L4,5,Yes,103.8917936,1.3335124
R119078R,IWOW TECHNOLOGY LIMITED,2,R119078R-001,CCS 2,60,408830,81,UBI AVENUE 4,UB. ONE,L1,47 AND 48,Yes,103.8917936,1.3335124
R119078R,IWOW TECHNOLOGY LIMITED,2,R119078R-002,CCS 2,60,408830,81,UBI AVENUE 4,UB. ONE,L1,47 AND 48,Yes,103.8917936,1.3335124
R119754G,COMFORTDELGRO ENGIE PTE. LTD.,1,R119754G-001,Type 2,7,730818,818,WOODLANDS STREET 82,,L1,16,Yes,103.78993,1.441662
R119755R,COMFORTDELGRO ENGIE PTE. LTD.,1,R119755R-001,Type 2,7,730818,818,WOODLANDS STREET 82,,L1,17,Yes,103.78993,1.441662
R119757H,COMFORTDELGRO ENGIE PTE. LTD.,1,R119757H-001,Type 2,7,730818,818,WOODLANDS STREET 82,,L1,18,Yes,103.78993,1.441662
R119758A,COMFORTDELGRO ENGIE PTE. LTD.,1,R119758A-001,Type 2,7,680435,435,CHOA CHU KANG AVENUE 4,,L1,81,Yes,103.74105,1.3851388
R119759E,COMFORTDELGRO ENGIE PTE. LTD.,1,R119759E-001,Type 2,7,680435,435,CHOA CHU KANG AVENUE 4,,L1,82,Yes,103.74105,1.3851388
R119760H,COMFORTDELGRO ENGIE PTE. LTD.,1,R119760H-001,Type 2,7,680435,435,CHOA CHU KANG AVENUE 4,,L1,83,Yes,103.74105,1.3851388
R119762E,COMFORTDELGRO ENGIE PTE. LTD.,1,R119762E-001,Type 2,7,600047,47,TEBAN GARDENS ROAD,,L1,40,Yes,103.7398885,1.3201263
R119763K,COMFORTDELGRO ENGIE PTE. LTD.,1,R119763K-001,Type 2,7,600047,47,TEBAN GARDENS ROAD,,L1,41,Yes,103.7398885,1.3201263
R119764B,COMFORTDELGRO ENGIE PTE. LTD.,1,R119764B-001,Type 2,7,600047,47,TEBAN GARDENS ROAD,,L1,42,Yes,103.7398885,1.3201263
R119879R,COMFORTDELGRO ENGIE PTE. LTD.,1,R119879R-001,Type 2,7,731656,656A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,183,Yes,103.7987196,1.4371899
R119880C,COMFORTDELGRO ENGIE PTE. LTD.,1,R119880C-001,Type 2,7,731656,656A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,184,Yes,103.7987196,1.4371899
R119881G,COMFORTDELGRO ENGIE PTE. LTD.,1,R119881G-001,Type 2,7,731656,656A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,185,Yes,103.7987196,1.4371899
R119882R,COMFORTDELGRO ENGIE PTE. LTD.,1,R119882R-001,Type 2,7,731626,626A,WOODLANDS DRIVE 52,MULTI STOREY CAR PARK,L3B,179,Yes,103.8001313,1.434098
R119883D,COMFORTDELGRO ENGIE PTE. LTD.,1,R119883D-001,Type 2,7,731626,626A,WOODLANDS DRIVE 52,MULTI STOREY CAR PARK,L3B,180,Yes,103.8001313,1.434098
R119884H,COMFORTDELGRO ENGIE PTE. LTD.,1,R119884H-001,Type 2,7,731626,626A,WOODLANDS DRIVE 52,MULTI STOREY CAR PARK,L3B,181,Yes,103.8001313,1.434098
R119885A,COMFORTDELGRO ENGIE PTE. LTD.,1,R119885A-001,Type 2,7,731633,633A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,159,Yes,103.8020795,1.4362559
R119886E,COMFORTDELGRO ENGIE PTE. LTD.,1,R119886E-001,Type 2,7,731633,633A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,160,Yes,103.8020795,1.4362559
R119887K,COMFORTDELGRO ENGIE PTE. LTD.,1,R119887K-001,Type 2,7,731633,633A,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,L3B,161,Yes,103.8020795,1.4362559
R119912G,SHELL SINGAPORE PTE. LTD.,1,R119912G-001,Type 2,7,751358,358A,ADMIRALTY DRIVE,MULTI STOREY CAR PARK,L3A,312,Yes,103.8166936,1.4489272
R119913R,SHELL SINGAPORE PTE. LTD.,1,R119913R-001,Type 2,7,751358,358A,ADMIRALTY DRIVE,MULTI STOREY CAR PARK,L3A,313,Yes,103.8166936,1.4489272
